ambassador_campaign_relationship_id,date_joined,ambassador_id,campaign_id,id,dob,age_at_join,daysoffset,date_joined_week_start
6f94e7fa-74ab-4ff6-9c13-50151459f4b2,2018-02-07,0069a733-e50a-4895-9d8c-bc268a1981c5,16c46162-1496-4a16-8657-7b66d718f935,0069a733-e50a-4895-9d8c-bc268a1981c5,1995-04-20,22,2,2018-02-05
d6119daf-8ea4-46e0-bc31-776d612cd9fd,2018-06-26,0069a733-e50a-4895-9d8c-bc268a1981c5,9e9dae6c-8a31-4eeb-a5b2-8275b6d615d0,0069a733-e50a-4895-9d8c-bc268a1981c5,1995-04-20,23,1,2018-06-25
ba8b4d87-686a-4262-80bc-aecb3bad35dd,2018-03-01,0069a733-e50a-4895-9d8c-bc268a1981c5,b04724ef-4330-4559-9caf-2903eb18f84f,0069a733-e50a-4895-9d8c-bc268a1981c5,1995-04-20,22,3,2018-02-26
bb628078-2150-4dec-8d5c-6e4ee355386d,2018-07-12,016c6d27-2f60-418c-ac51-22d0134f447a,137a1c43-e565-4e24-a664-05ce2701b1a5,016c6d27-2f60-418c-ac51-22d0134f447a,1987-04-08,31,3,2018-07-09
aa9855b1-04a6-4b63-99dd-e4aa1e4b0a17,2018-07-25,016c6d27-2f60-418c-ac51-22d0134f447a,1f5e9e2f-549b-4456-a414-da1c8e6594a5,016c6d27-2f60-418c-ac51-22d0134f447a,1987-04-08,31,2,2018-07-23
28b9ab12-ec87-4165-b05d-a6c1211f0547,2018-10-02,016c6d27-2f60-418c-ac51-22d0134f447a,37d0e703-b748-4643-87ec-bab76b1f80fd,016c6d27-2f60-418c-ac51-22d0134f447a,1987-04-08,31,1,2018-10-01
5ce2e880-7095-4553-aa74-77a2f62481d9,2018-04-02,016c6d27-2f60-418c-ac51-22d0134f447a,5916bb5b-df9c-413d-a435-fc1161a19544,016c6d27-2f60-418c-ac51-22d0134f447a,1987-04-08,30,0,2018-04-02
03c5afdf-230d-45dc-9557-7596f5faaf3f,2018-10-09,016c6d27-2f60-418c-ac51-22d0134f447a,c197ab6a-b3a8-41d9-9d68-d61de65e5b5b,016c6d27-2f60-418c-ac51-22d0134f447a,1987-04-08,31,1,2018-10-08
c9c2cf75-7484-496d-a404-1bbd9e97471b,2018-04-18,016c6d27-2f60-418c-ac51-22d0134f447a,e57c98f7-1b82-4cc8-b21b-e1b3f5575a54,016c6d27-2f60-418c-ac51-22d0134f447a,1987-04-08,31,2,2018-04-16
23fb7860-1ec1-4b18-90ef-d28395168173,2018-08-23,02965b32-e80a-4583-9cd0-7322de65c463,0c9b8db0-c07b-4add-85a4-8b6d6c39f4ee,02965b32-e80a-4583-9cd0-7322de65c463,1986-11-25,31,3,2018-08-20
a60b0520-7df9-4cd8-af2c-c8893f9168b6,2018-01-19,02965b32-e80a-4583-9cd0-7322de65c463,37d0e703-b748-4643-87ec-bab76b1f80fd,02965b32-e80a-4583-9cd0-7322de65c463,1986-11-25,31,4,2018-01-15
78bef8d4-da84-404a-b36f-ac9e6274a572,2018-05-10,02965b32-e80a-4583-9cd0-7322de65c463,a4a7a42d-0822-4c77-8d0f-a42f37923f28,02965b32-e80a-4583-9cd0-7322de65c463,1986-11-25,31,3,2018-05-07
fc8f07db-401d-4458-bcd9-ae3b154826cc,2018-09-29,02b59324-a3f7-4455-9615-cf0b6e83099e,0c9b8db0-c07b-4add-85a4-8b6d6c39f4ee,02b59324-a3f7-4455-9615-cf0b6e83099e,1995-06-14,23,5,2018-09-24
39a35708-08f3-4eb1-83d1-48e75a6377bb,2018-04-27,02b59324-a3f7-4455-9615-cf0b6e83099e,135b3134-10dd-4b54-9be4-1b6abce30a7c,02b59324-a3f7-4455-9615-cf0b6e83099e,1995-06-14,22,4,2018-04-23
72dc23e5-c5f0-4514-9def-359d1386e06e,2018-05-05,02b59324-a3f7-4455-9615-cf0b6e83099e,69f338a0-b46e-458d-b3c9-f181a729141b,02b59324-a3f7-4455-9615-cf0b6e83099e,1995-06-14,22,5,2018-04-30
961aaf64-e748-4197-9ada-98a5c6ee1589,2018-04-26,02b59324-a3f7-4455-9615-cf0b6e83099e,a1f3509a-3bf6-4265-b850-a1e18c7e3c1b,02b59324-a3f7-4455-9615-cf0b6e83099e,1995-06-14,22,3,2018-04-23
c87e72b9-1ade-4b8e-8730-78b7fbedb454,2018-03-13,034eef3f-ebc7-4599-8adb-1db671f3bbf0,e57c98f7-1b82-4cc8-b21b-e1b3f5575a54,034eef3f-ebc7-4599-8adb-1db671f3bbf0,1998-06-09,19,1,2018-03-12
fc3e3b2b-b661-411e-8a12-0c50ae03d758,2018-04-19,04b86df5-5dd6-434f-82d3-f1bc9d9449ae,e57c98f7-1b82-4cc8-b21b-e1b3f5575a54,04b86df5-5dd6-434f-82d3-f1bc9d9449ae,1994-07-29,23,3,2018-04-16
e6e0ceb6-d979-4104-a864-dc4ae1ac4b1c,2018-05-12,057695d6-c028-48f5-ba31-dbe60f15730b,08c95cc0-a7d0-4031-81da-7dc455051810,057695d6-c028-48f5-ba31-dbe60f15730b,1985-03-21,33,5,2018-05-07
0758135b-224a-4297-a4c5-aff57bfd336d,2018-07-24,057695d6-c028-48f5-ba31-dbe60f15730b,135b3134-10dd-4b54-9be4-1b6abce30a7c,057695d6-c028-48f5-ba31-dbe60f15730b,1985-03-21,33,1,2018-07-23
7d87c6d2-6ffa-437d-a6a9-2a43596f0544,2018-04-26,057695d6-c028-48f5-ba31-dbe60f15730b,69f338a0-b46e-458d-b3c9-f181a729141b,057695d6-c028-48f5-ba31-dbe60f15730b,1985-03-21,33,3,2018-04-23
